"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"PrefrontalCortex"	"48/521"	0.952229146862431	0.999995018227512	0	0	0.787336304318068	0.0385397756429541	"RERE;RAB5B;MCTP1;WBP2;PTPRO;PRDM2;ABCB9;PIK3CB;PIK3R1;DTX3;ADD3;PURA;NUDCD3;FLRT2;RB1CC1;CHN1;PIP4K2B;PRKACB;GLUL;CAMK2G;SPTBN1;SKP1;CEP68;FBXW7;KLHL26;MAGI2;ENTPD6;RPRD2;ATP2B1;DGKZ;PTK2;SUPT7L;RNF146;P2RX7;CNKSR2;GFOD1;WNK1;NF1;RAPGEF2;PLEKHM2;CALM3;TCF4;CALM1;SSBP3;OPTN;GAS7;ARL8B;MXD4"
"Liver"	"57/618"	0.964186951867918	0.999995018227512	0	0	0.787467558334641	0.0287189967399863	"COL18A1;SERPINA1;PGAP3;PRKCSH;DENND1A;MT1X;COMT;RRN3P1;CPT2;ALDH2;FCGRT;SMPD1;ANPEP;SLC22A18;CYP1B1;CTSF;GSTO1;AKR1A1;LIME1;DEXI;FAHD2A;GCHFR;DDX19A;LPAL2;THOP1;MAD1L1;FTL;CUTA;GALT;ABHD2;ZBTB48;SLC43A1;RFNG;TYMS;C3;EBP;CTNNA1;ASL;CD14;SCAND1;IL12RB1;MBD3;SDF2L1;EPHX2;STARD10;MYO9B;DHRS1;YIF1A;SOD1;BCKDK;P2RX7;ADI1;CTH;MGAT4B;NUCB1;ECHDC2;P4HB"
"Salivarygland"	"3/57"	0.964457699341638	0.999995018227512	0	0	0.432740806033005	0.01566058910263	"SLC31A2;PHACTR1;PHLDA1"
"TrigeminalGanglion"	"15/196"	0.966380532695238	0.999995018227512	0	0	0.644293872715211	0.0220333016627238	"RPL5;HEMK1;IPO11;MAX;AKAP8L;LEF1;MEFV;SERPINB8;TOR1AIP1;EXT1;ADAM19;SLC25A16;CYLD;ZNF80;OGT"
"Colorectaladenocarcinoma"	"24/292"	0.968416675348898	0.999995018227512	0	0	0.695543634142455	0.0223219667950102	"RNF43;YES1;ELL;AUTS2;SHMT2;UXS1;ACTN1;TEX10;WDR74;PLOD3;MOSPD1;PDAP1;TPD52L2;DUSP6;MAPK13;IRAK1;PRKD3;MGAT4B;CTNNA1;ITGA6;NFRKB;IER3;TGM2;FAM50A"
"Trachea"	"4/72"	0.970066547039161	0.999995018227512	0	0	0.458035065878203	0.013919962599701	"XBP1;KIAA1324;LYZ;AQP3"
"CingulateCortex"	"1/33"	0.981363827298711	0.999995018227512	0	0	0.243505063848525	0.00458082073609041	"RGS16"
"AdrenalCortex"	"6/106"	0.985138863090888	0.999995018227512	0	0	0.46676081200353	0.00698865560203457	"ALDH3A2;NR4A2;ABCC3;STK19;HSPE1;KBTBD8"
"PancreaticIslet"	"7/123"	0.989490626707653	0.999995018227512	0	0	0.469224328233234	0.00495734880618452	"SH3YL1;SMPD1;TMED3;VWA5A;RPL29;SOD2;SLC36A4"
"SuperiorCervicalGanglion"	"51/602"	0.992092190271147	0.999995018227512	0	0	0.71584226133811	0.00568324514291842	"CREBZF;DOCK5;DGKE;MOCS3;THRA;ZMYND8;ITSN1;UBE2D1;MIA2;FCAR;SIRPB1;PHF8;OSBPL10;SPTLC2;ZMYM5;CTLA4;EMILIN2;TLK1;CD36;TGM2;HEMK1;DAXX;VPS13C;TANC2;RAB33B;LAT2;MTAP;ASF1A;AIF1;NR2C1;GSPT1;NUP160;PDLIM5;MAP3K2;UBE2B;MBOAT7;PYHIN1;MBD2;PDE4DIP;BRAF;PTPN12;QKI;SLC4A7;RAB14;IL2RA;TSPAN18;DMXL2;NF1;PLXNB2;KRAS;CD22"
"Ovary"	"1/41"	0.992909559617722	0.999995018227512	0	0	0.194715984147952	0.00138553994670387	"CEBPD"
"Amygdala"	"26/345"	0.99303250649552	0.999995018227512	0	0	0.631752164070155	0.00441713521208638	"CYFIP2;THRA;YWHAB;UBE2D2;RB1CC1;G3BP2;ATP6V1H;MAPK1;RAB6A;CLASP2;UBE2B;MINK1;KLHL2;PDE4DIP;ATP2B1;ADAP1;C6ORF120;CNKSR2;EID1;GLUD1;RCN2;SYNJ1;TAX1BP1;CALM1;FGF13;OPTN"
"GlobusPallidus"	"2/59"	0.993092020503825	0.999995018227512	0	0	0.27314321044903	0.00189341508923869	"PURB;PHACTR1"
"Uterus"	"13/201"	0.993185783106292	0.999995018227512	0	0	0.536906746536313	0.00367112118446542	"CLIC4;TAGLN;ELL;MCAM;SOCS2;TCEAL4;KCNMB1;CDC42EP3;ZNF516;RPL24;PDLIM5;TMEM106A;DCP1B"
"Kidney"	"8/142"	0.993577862452755	0.999995018227512	0	0	0.463952323189705	0.00298917438629844	"NQO2;BDH2;GNPDA1;IMPA2;NFAM1;STK38;TACC1;GGT1"
"Thalamus"	"3/79"	0.995551506113356	0.999995018227512	0	0	0.30709099765721	0.00136913999404147	"RGS16;HMCN2;PPP2R5D"
"Pancreas"	"4/96"	0.996403643794261	0.999995018227512	0	0	0.338087569971628	0.00121807496129917	"RNF43;CEACAM1;TMEM104;RHPN1"
"Fetalliver"	"6/126"	0.9970453370258	0.999995018227512	0	0	0.388526037069726	0.00114966276686823	"ABCA1;GLUD1;SERPINA1;SETD1B;CPOX;ZNF558"
"Testis"	"28/384"	0.997122352326485	0.999995018227512	0	0	0.60888461615494	0.00175468128898254	"ZNF473;MTCH2;ABHD2;MAST2;POMT1;KLHL12;ABCB9;ALKBH7;PLA2G6;PHF8;THBS3;PPM1G;THTPA;GGA1;PPP3CB;RUVBL2;SAP130;RAB11FIP5;PSKH1;FBXW5;ODF2;MBD2;MAPK13;TBL2;TTLL4;DALRD3;PSMG1;PAFAH1B1"
"Appendix"	"6/127"	0.997283136044947	0.999995018227512	0	0	0.385293195130313	0.00104821376672346	"CD163;CPSF6;DOCK9;NF1;EPS15L1;MPP7"
"small intestine"	"13/220"	0.998061267724495	0.999995018227512	0	0	0.487097236389921	0.00094526774040475	"MOCS2;AUTS2;SAR1B;SLC35D2;EAF1;PARD6G;PGRMC2;MAF;CPT2;ANPEP;SUCLG2;ANO10;GALM"
"colon"	"16/258"	0.998328590936142	0.999995018227512	0	0	0.512455307426294	0.000857239043941087	"SLC26A2;PRKAA1;YES1;GALNT3;SLC35D2;TANC2;NUP160;MAPK13;PLSCR1;CEACAM1;MARCKS;PGRMC2;CPT2;GPA33;SUCLG2;UBE2K"
"TestisLeydigCell"	"4/107"	0.99871454693392	0.999995018227512	0	0	0.301792777520933	0.000388190004688724	"DALRD3;NPC2;RFX2;LRRFIP2"
"UterusCorpus"	"3/98"	0.999334964913503	0.999995018227512	0	0	0.245408364454548	0.000163259465537669	"HDLBP;CTNNA1;ZNF333"
"Pituitary"	"2/84"	0.999535919819571	0.999995018227512	0	0	0.18959922638874	8.80096665425904e-05	"RPS28;KIAA1324"
"CiliaryGanglion"	"16/278"	0.999556908229968	0.999995018227512	0	0	0.472795192463862	0.000209538084420611	"TNKS;DOCK9;TNFRSF9;TTN;HECTD1;ASPH;PACS1;UBE2Q2;GRPEL2;FAM120A;VTI1A;NF1;CD59;CD36;ZNF226;RPL29"
"TestisSeminiferousTubule"	"1/69"	0.999757247139059	0.999995018227512	0	0	0.114357499935245	2.77639803084865e-05	"ZNF577"
"SkeletalMuscle"	"29/441"	0.999768489665156	0.999995018227512	0	0	0.543399313506097	0.000125817121567561	"DDX6;RIF1;RRAD;MAST2;FHL1;BRCC3;DTX3;PRDM10;NR2C1;TTN;KIAA1109;DHX34;NIPAL3;FLNB;ATXN7L1;PDLIM5;EVI5;KIR3DX1;ZBTB17;FEM1A;INTS1;UBE2B;PDE4DIP;ANK1;BIN1;PACS1;ERGIC3;GEMIN8;OPTN"
"TestisGermCell"	"18/314"	0.999798014483447	0.999995018227512	0	0	0.4702990479388	9.50031910896625e-05	"ZNF341;EIF2B3;CLPB;NEK4;ODF2;CEP164;TBC1D8;MYO9A;LRP8;PPM1G;GGA1;FAM184A;AP1G1;SAP130;NBR1;TPR;RNF141;DCP1B"
"TestisIntersitial"	"40/568"	0.999810741276474	0.999995018227512	0	0	0.583794938633648	0.000110498741642285	"FANK1;ZNF473;PRKAA1;MRPS15;CLPB;CCNH;ABHD2;CEP164;FBXO25;ICA1;KLHL12;COX7A2;ALKBH7;IPO5;FAM184A;PPP1R7;RUVBL2;CYP2R1;LRRFIP2;KIF21B;SLC12A6;ZC3H14;RAB11FIP5;SPAG9;ODF2;CGRRF1;MYO9A;DBF4;KIF2A;KIAA0586;CPD;PSME4;NBR1;TPP2;ULK2;CALM3;ZNF577;RNF141;STAM2;PAFAH1B1"
"AtrioventricularNode"	"13/269"	0.999942714461834	0.999995018227512	0	0	0.392762284196547	2.25002432968793e-05	"USP6NL;DAPK2;UBR2;SERPINB8;LRRC37B;PTPRE;ADAM28;HECTD1;GRPEL2;PHACTR1;RPL29;ZNF577;LONRF1"
"Skin"	"1/111"	0.999995018227512	0.999995018227512	0	0	0.0705255994555862	3.51343366191724e-07	"TMEM104"
