TEFF_early.vs.BL	TEFF_late.vs.BL	TREG_early.vs.BL	TREG_late.vs.BL
CLCN6	0	0	1	0
CLDND1	0	0	1	0
CLEC2D	0	0	1	0
CLEC7A	0	0	1	0
CLIC4	0	0	1	1
CLK1	0	0	1	0
CLN5	0	0	1	0
CLNK	0	0	1	0
CLPB	0	0	1	0
CLPP	0	0	1	0
CLSTN1	0	0	1	0
CLUHP3	0	0	0	1
CMAHP	0	0	1	0
CMC1	1	0	0	0
CMPK2	0	1	0	0
CMTM3	0	0	1	0
CMTM7	0	0	1	0
CNBD2	0	0	1	0
CNIH1	0	0	0	1
CNKSR2	0	0	1	0
CNOT10	0	1	1	0
CNOT9	0	1	0	0
CNP	0	0	0	1
CNPY3	0	0	1	0
CNPY4	0	0	0	1
CNR2	1	0	0	0
CNST	0	0	1	0
COA5	0	0	0	1
COG6	0	0	1	0
COL18A1	0	0	1	0
COL9A2	0	0	1	0
COLGALT1	0	0	1	0
COMMD2	0	0	0	1
COMMD3	0	0	1	0
COMMD4	0	1	1	0
COMMD6	0	0	1	0
COMMD7	0	0	1	0
COMT	0	0	1	0
COQ2	0	0	1	0
COQ6	0	0	0	1
CORO1B	0	0	1	0
CORO1C	0	0	1	0
COTL1	0	0	1	1
COX10	0	0	1	0
COX14	0	0	1	0
COX17	1	0	0	0
COX6B1	0	0	1	0
COX6B2	0	0	1	0
COX6C	0	0	1	0
COX7A2	0	0	1	0
COX7C	0	0	1	0
CPD	0	0	1	1
CPM	0	0	1	0
CPOX	0	0	1	0
CPPED1	0	0	1	0
CPQ	0	0	1	0
CPSF6	0	0	1	0
CPSF7	1	0	0	0
CPT1B	0	0	1	0
CPT2	0	1	1	0
CPTP	0	0	1	0
CPVL	0	0	1	0
CRAMP1	0	0	1	0
CRBN	0	0	1	0
CREB3	1	0	0	0
CREB3L2	0	0	1	0
CREBRF	0	0	1	0
CREBZF	0	0	1	0
CREG1	0	0	1	1
CRISPLD2	0	0	1	0
CROCCP3	1	0	0	1
CRTAP	0	0	0	1
CRTC2	0	0	1	0
CSAD	0	0	1	1
CSF1R	0	0	1	0
CSF2RA	0	0	1	0
CSF3R	0	0	1	0
CSNK1E	0	0	0	1
CSRNP1	0	1	0	0
CST3	0	0	1	0
CSTF1	0	0	1	0
CSTF2T	0	0	0	1
CTH	0	0	1	0
CTLA4	0	0	1	0
CTNNA1	0	0	1	0
CTSB	0	0	1	0
CTSC	0	0	1	0
CTSD	0	0	1	0
CTSF	0	0	1	0
CTSH	0	0	1	0
CTSL	0	0	1	0
CTSS	0	0	1	0
CTSW	0	0	1	0
CUL4B	0	0	1	0
CUL7	0	0	1	0
CUTA	0	0	1	0
CUX1	0	0	1	0
CWF19L2	0	0	0	1
CXCL16	0	0	1	0
CXCL2	0	0	1	0
CXCL8	0	0	1	0
CXCR3	0	0	1	0
CXCR4	0	0	1	0
CXCR6	0	0	1	0
CXXC5	1	0	1	0
CYB5R1	0	0	1	0
CYB5R4	0	0	0	1
CYBB	0	0	1	0
CYBC1	0	0	1	0
CYC1	0	0	1	0
CYCS	0	0	0	1
CYFIP1	0	0	0	1
CYFIP2	0	0	1	0
CYLD	0	0	1	0
CYP1B1	0	0	1	0
CYP2R1	0	0	1	0
CYREN	0	0	0	1
CYRIA	0	0	1	0
CYSTM1	1	0	1	0
CYTH1	0	0	1	0
DAG1	0	0	1	0
DAGLB	0	0	1	0
DALRD3	1	0	1	0
DAP	0	0	0	1
DAP3	0	0	1	0
DAPK2	0	0	1	0
DARS1	0	0	1	0
DAXX	0	0	1	0
DAZAP1	0	0	1	0
DBF4	0	0	1	0
DBP	0	0	1	0
DCAF5	0	0	1	0
DCAF6	0	0	1	0
DCAF8	0	0	1	0
DCP1B	0	0	1	0
DDB1	0	0	1	0
DDRGK1	0	0	1	0
DDX19A	0	0	1	0
DDX19B	1	0	1	0
DDX24	0	0	1	0
DDX27	0	0	1	0
DDX39B	0	0	1	0
DDX41	0	0	1	0
DDX47	0	1	0	0
DDX50	1	0	0	0
DDX51	0	0	1	0
DDX58	0	1	0	1
DDX6	0	0	1	0
DDX60L	0	0	0	1
DECR1	0	0	1	0
DEGS1	0	0	0	1
DELE1	0	0	1	0
DENND10	0	0	1	0
DENND1A	0	0	1	0
DENND1C	0	0	1	0
DENND2A	0	0	0	1
DENND2D	0	0	1	0
DENND3	0	0	1	0
DENND4A	0	0	0	1
DENND5A	0	0	1	0
DENR	0	0	1	0
DEPDC5	0	0	1	0
DERL1	0	0	0	1
DEXI	0	0	1	0
DGKA	0	0	1	0
DGKE	0	0	1	0
DGKZ	0	0	1	0
DHRS1	0	0	1	0
DHRS3	0	1	0	0
DHX34	0	0	1	0
DHX8	0	0	0	1
DHX9	1	0	0	0
DICER1	0	1	0	0
DIP2A	0	0	1	0
DIS3	0	0	1	0
DLG1	0	0	0	1
DLL1	1	0	0	0
DMAC1	0	0	1	0
DMAC2L	0	0	1	0
DMTF1	0	0	1	0
DMWD	0	0	1	0
DMXL1	0	0	0	1
DMXL2	0	0	1	0
DNAAF1	0	0	1	0
DNAJA2	0	1	0	1
DNAJC14	0	0	1	0
DNAJC2	0	0	0	1
DNAJC27	0	0	1	0
DNAJC3	0	0	1	0
DNAJC30	0	1	0	0
DNAJC4	1	1	0	1
DNAJC5	1	0	0	0
DNAJC7	0	0	1	0
DNAJC9	1	0	0	0
DNASE1L1	0	0	1	0
DNHD1	1	0	0	0
DNM1L	0	0	1	0
DNM1P47	1	0	0	0
DNMT3A	0	0	1	0
DOCK11	0	0	1	0
DOCK5	0	0	1	0
DOCK9	0	0	1	0
DOHH	0	0	1	0
DOK2	0	0	1	0
DOP1A	1	0	0	0
DOT1L	0	0	1	0
DPEP2	0	0	1	0
DPH3	0	0	1	0
DRAM1	0	0	1	1
DSE	0	0	1	0
DSN1	0	0	0	1
DTNB	0	1	0	0
DTX3	0	0	1	0
DTX3L	0	0	0	1
DTYMK	0	0	1	0
DUS2	1	0	0	0
DUSP1	0	0	1	0
DUSP16	0	0	1	0
DUSP3	0	0	1	0
DUSP6	0	0	1	0
DUSP8	0	0	0	1
DVL3	1	1	0	0
DYNLRB1	0	0	1	0
DYNLT3	1	0	1	1
DZIP3	0	0	1	0
E2F5	1	0	0	0
EAF1	0	0	1	0
EAF2	1	0	0	0
EAPP	0	0	1	0
EBNA1BP2	0	0	1	0
EBP	0	0	1	0
ECE1	0	0	0	1
ECHDC2	0	0	1	0
ECI2	0	0	0	1
ECSIT	0	0	1	0
EEF1G	0	0	1	0
EEF2	0	0	1	0
EEPD1	0	0	1	0
EFHD2	0	0	1	1
EFTUD2	0	0	1	1
EGFL8	0	0	0	1
EGLN1	0	0	1	0
EGR2	0	0	1	0
EHBP1	0	0	1	0
EHD1	0	0	0	1
EHD4	0	1	1	1
EID1	0	0	1	0
EIF1	0	1	0	0
EIF1AD	0	0	1	0
EIF1B	0	0	1	0
EIF2B3	0	0	1	0
EIF3A	0	0	1	0
EIF3B	0	0	1	0
EIF3D	0	0	1	0
EIF3E	0	0	1	0
EIF3F	0	0	1	0
EIF3FP3	0	0	1	0
EIF3G	1	0	1	0
EIF3H	0	0	1	0
EIF3I	0	0	0	1
EIF4B	0	0	1	0
EIF4E	0	0	1	1
ELF1	0	1	0	0
ELL	0	0	1	0
ELMOD2	0	0	1	0
ELMOD3	0	0	0	1
ELOA	0	0	1	0
ELP4	0	0	1	0
EMB	0	0	1	0
EMC8	0	1	0	0
EMILIN2	0	0	1	0
EML2	0	0	1	0
EMP1	0	0	1	0
EMSY	0	0	1	0
ENTPD4	0	0	1	0
ENTPD6	0	0	1	0
EOLA1	0	0	1	0
EPB41	0	0	1	1
EPHX2	0	0	1	0
EPM2A	0	0	1	0
EPS15L1	0	0	1	0
EPSTI1	0	0	0	1
ERCC1	0	0	1	0
ERCC5	0	0	1	1
ERCC6	0	0	1	0
EREG	0	0	1	0
ERGIC3	0	0	1	0
ERICH1	1	1	0	0
ERLIN2	0	0	1	0
ERMARD	0	0	1	0
ERO1A	0	0	1	0
ERP27	0	0	1	0
ERP44	0	0	0	1
ESF1	0	0	0	1
ESYT1	0	1	1	0
ETF1	0	0	0	1
ETFRF1	1	0	0	0
ETHE1	0	0	0	1
ETS1	0	0	1	0
ETS2	0	0	1	0
ETV3	0	0	1	0
ETV6	0	0	1	0
EVI2A	0	0	1	0
EVI2B	0	0	1	0
EVI5	0	0	1	0
EVL	0	0	1	0
EXD3	1	0	1	0
EXOC7	0	0	1	0
EXOSC6	0	0	1	0
EXT1	0	0	1	1
FAAP100	0	0	0	1
FADS3	0	0	1	0
FAF2	0	1	0	0
FAHD2A	0	0	1	0
FAHD2B	0	0	1	0
FAM102B	0	0	1	1
FAM111A	0	0	1	0
FAM117A	0	0	1	0
FAM120A	0	0	1	0
FAM122B	0	0	1	0
FAM126B	0	0	1	0
FAM13A	0	0	1	1
FAM177A1	0	0	1	0
FAM184A	0	0	1	0
FAM214A	0	0	1	0
FAM219B	0	0	1	0
FAM241A	0	0	1	0
FAM3A	0	0	1	0
FAM3C	0	0	1	0
FAM50A	0	0	1	0
