TEFF_early.vs.BL	TEFF_late.vs.BL	TREG_early.vs.BL	TREG_late.vs.BL
RBAK	0	1	0	0
RBCK1	0	0	0	1
RBIS	0	0	1	0
RBL2	0	0	1	0
RBM14	0	0	1	0
RBM15B	0	0	1	0
RBM23	0	0	1	0
RBM26	0	0	1	0
RBM33	0	0	1	0
RBM38	0	0	1	0
RBM39	0	0	1	0
RBM41	0	0	1	0
RBM47	0	0	1	0
RBM4B	0	0	1	0
RBM7	0	0	0	1
RBMX2	0	0	0	1
RBSN	0	0	1	0
RCAN3	0	0	1	0
RCC2	0	0	0	1
RCHY1	0	1	1	0
RCN1	0	0	1	0
RCN2	0	0	1	0
RCSD1	0	0	1	0
RDH10	0	0	1	0
RELB	0	0	0	1
RELL2	0	0	1	0
RELT	0	0	1	0
REPS1	0	0	1	0
RERE	1	0	1	0
RETREG2	0	0	1	0
REXO2	0	0	1	0
REXO4	0	1	0	1
RFC2	0	0	1	0
RFNG	0	0	1	0
RFX2	0	0	1	0
RFXANK	0	0	1	0
RGL2	1	0	0	0
RGL4	0	0	1	0
RGP1	0	0	1	0
RGPD1	0	0	1	0
RGS10	0	0	1	0
RGS16	0	0	1	0
RGS9	0	1	1	0
RHBDF2	0	0	1	0
RHEB	0	0	0	1
RHOA	0	0	0	1
RHOF	0	0	1	0
RHOH	0	0	1	0
RHOQ	0	0	1	0
RHPN1	0	0	1	0
RIC1	0	1	0	0
RIC3	0	0	1	0
RIF1	0	0	1	0
RINL	0	0	1	0
RIOX1	0	0	1	0
RIPK2	0	0	1	0
RIPK3	0	0	1	0
RIPOR2	0	0	1	0
RIPOR3	0	0	1	0
RMDN1	1	0	1	0
RMND5A	0	1	0	0
RND1	0	0	1	0
RNF11	0	1	0	0
RNF113A	0	0	1	0
RNF125	0	0	1	0
RNF130	0	0	1	0
RNF141	0	0	1	0
RNF145	0	0	1	0
RNF146	0	0	1	0
RNF170	0	0	1	0
RNF181	0	0	1	0
RNF19B	0	0	1	1
RNF214	0	0	1	0
RNF227	0	0	1	0
RNF24	0	0	1	0
RNF40	1	0	0	0
RNF43	0	0	1	0
RNF44	0	0	1	0
RNH1	0	0	1	0
RNPC3	0	0	1	1
ROGDI	0	0	1	0
RORA	0	0	1	0
RP2	0	0	1	1
RPAP2	0	0	1	0
RPF1	0	0	1	0
RPGR	0	0	1	0
RPL10A	0	0	1	0
RPL11	0	0	1	0
RPL12	0	0	1	0
RPL13A	0	0	1	0
RPL14	0	0	1	0
RPL15	0	0	1	0
RPL17	0	0	1	0
RPL18	0	0	1	0
RPL19	0	0	1	0
RPL23	0	0	1	0
RPL23A	0	0	1	0
RPL24	0	0	1	0
RPL26	0	0	1	0
RPL27	0	0	1	0
RPL27A	0	0	1	0
RPL29	0	0	1	0
RPL31	0	0	1	0
RPL34	0	0	1	0
RPL36	0	0	1	0
RPL36A	0	0	1	0
RPL36AL	0	0	1	0
RPL37	0	0	1	0
RPL38	0	0	1	0
RPL39	0	0	1	0
RPL41	0	0	1	0
RPL5	0	0	1	0
RPL6	0	0	1	0
RPL7	0	0	1	0
RPL7A	0	0	1	0
RPLP0	0	0	1	0
RPLP1	0	0	1	0
RPN1	0	0	0	1
RPRD1B	0	0	1	0
RPRD2	0	0	1	0
RPS10	0	0	1	0
RPS11	0	0	1	0
RPS14	0	0	1	0
RPS15	0	0	1	0
RPS15A	0	0	1	0
RPS18	0	0	1	0
RPS19	0	0	1	0
RPS20	0	0	1	0
RPS21	0	0	1	0
RPS25	0	0	1	0
RPS26	0	0	1	0
RPS27	0	0	1	0
RPS27L	0	0	1	0
RPS28	0	0	1	0
RPS29	0	0	1	0
RPS3	0	0	1	0
RPS3A	0	0	1	0
RPS4X	0	0	1	0
RPS7	0	0	1	0
RPS8	0	0	1	0
RPTOR	0	0	1	0
RRAD	0	0	1	0
RRAGB	0	0	1	0
RRAGC	0	1	0	0
RRM2	0	0	1	0
RRN3P1	0	0	1	0
RRP12	0	0	1	0
RRP36	0	0	1	0
RRS1	0	0	1	0
RSBN1	0	1	1	0
RSF1	0	0	1	0
RSL1D1	0	0	1	0
RSL24D1	0	0	1	0
RSRP1	1	0	1	0
RTCB	0	0	0	1
RTKN2	0	0	1	0
RUFY2	0	1	0	0
RUNX1	0	0	0	1
RUVBL2	0	0	1	0
RXRA	0	0	1	0
S100A11	0	0	1	0
S100A8	0	0	1	0
S100A9	0	0	1	0
S100PBP	0	0	1	0
S1PR1	0	0	1	0
S1PR3	0	0	1	0
S1PR4	0	0	1	0
SAAL1	0	1	1	0
SACM1L	0	0	1	0
SAMD3	0	0	1	0
SAMD9	0	0	0	1
SAMD9L	0	0	0	1
SAMHD1	0	0	1	0
SAP130	0	0	1	0
SAP25	0	0	0	1
SAR1B	0	0	1	0
SAT1	0	0	0	1
SAV1	0	0	1	1
SAYSD1	0	0	1	0
SBF2	0	0	1	0
SCAMP1	1	0	0	0
SCAMP3	0	0	1	0
SCAND1	0	0	1	0
SCARB2	0	0	1	1
SCFD1	0	0	1	0
SCIMP	0	0	1	0
SCLY	1	0	0	0
SCML4	0	0	1	0
SCO2	0	0	1	0
SCPEP1	0	0	1	0
SCRN2	0	0	1	0
SCUBE1	0	0	1	0
SDCBP	0	0	0	1
SDCCAG8	1	0	0	0
SDF2L1	0	0	1	0
SDHAF1	0	0	1	0
SEC13	0	0	1	0
SEC14L1	0	0	1	0
SEC22B	0	0	1	0
SEC23A	0	0	0	1
SEC24A	0	0	0	1
SEC24D	0	0	0	1
SEC31B	0	0	1	0
SECISBP2	0	0	1	0
SECISBP2L	0	0	1	0
SEH1L	0	0	1	0
SEL1L3	1	0	1	0
SELENOH	0	0	1	0
SELENOI	0	0	0	1
SELENOT	0	0	0	1
SELENOW	0	0	1	0
SELL	0	0	1	0
SELPLG	0	0	1	0
SEMA3G	0	0	1	0
SEMA4A	0	0	1	0
SEMA4B	1	0	0	0
SENP3	0	0	0	1
SENP5	0	0	1	0
SEPTIN1	0	0	1	0
SEPTIN6	0	0	1	0
SEPTIN9	0	0	1	0
SERINC3	0	0	0	1
SERPINA1	0	0	1	0
SERPINB1	0	0	0	1
SERPINB2	0	0	1	0
SERPINB8	0	0	1	1
SERPINB9	0	0	1	1
SERPINE2	0	0	1	0
SETD1B	0	0	1	1
SETD2	0	0	1	0
SETD6	1	0	0	0
SETDB1	0	1	0	0
SF3A1	0	1	0	0
SF3A2	0	0	1	0
SF3B1	0	0	1	0
SF3B6	0	0	1	0
SFR1	0	0	1	0
SFSWAP	0	0	1	0
SFT2D2	0	0	0	1
SFXN1	0	0	1	0
SGK1	0	0	1	0
SGK3	0	0	1	0
SGMS1	0	0	0	1
SGO2	0	0	0	1
SGPP2	0	0	1	0
SGSH	1	0	1	0
SGTB	0	0	1	0
SH2B3	0	0	1	1
SH2D1A	0	0	1	0
SH2D2A	0	0	1	0
SH3BGRL3	0	0	0	1
SH3KBP1	0	0	1	0
SH3YL1	0	0	1	0
SHCBP1	0	0	1	0
SHMT2	0	0	1	0
SIAH2	0	0	1	0
SIGLEC10	0	0	1	0
SIK2	1	0	0	0
SIRPB1	0	0	1	1
SIRPG	0	0	1	0
SIT1	0	0	1	0
SKAP1	0	0	1	0
SKIL	0	0	1	0
SKP1	0	0	1	0
SLAMF6	0	0	1	0
SLC11A1	0	0	1	0
SLC12A6	0	0	1	0
SLC14A1	0	0	1	0
SLC15A4	0	0	1	0
SLC16A3	0	0	1	0
SLC16A6	0	0	1	0
SLC18B1	0	1	1	0
SLC19A1	0	0	1	0
SLC22A18	0	0	1	0
SLC24A4	0	0	1	0
SLC25A12	1	0	0	0
SLC25A13	1	0	0	0
SLC25A14	1	1	0	0
SLC25A16	0	0	1	0
SLC25A28	0	0	0	1
SLC25A32	0	0	0	1
SLC25A36	0	0	1	0
SLC25A37	0	0	1	0
SLC25A45	0	0	1	0
SLC25A5	0	0	0	1
SLC26A2	0	0	1	0
SLC26A6	1	0	0	0
SLC27A3	0	0	1	0
SLC2A13	0	0	1	0
SLC2A6	0	0	1	0
SLC30A5	1	0	0	0
SLC31A1	0	0	1	0
SLC31A2	0	0	1	0
SLC35C2	0	0	1	0
SLC35D2	0	0	1	0
SLC35F6	0	0	1	0
SLC36A4	0	0	1	0
SLC37A2	0	0	1	0
SLC38A5	0	0	1	0
SLC39A7	0	0	1	0
SLC41A1	0	0	1	0
SLC43A1	0	0	1	0
SLC43A2	0	0	1	0
SLC43A3	0	0	1	1
SLC44A1	0	0	1	0
SLC46A3	0	0	1	0
SLC49A4	0	0	1	0
SLC4A2	0	0	0	1
SLC4A7	1	0	1	0
SLC5A6	0	0	1	0
SLC66A1	0	0	1	0
SLC6A6	0	0	1	0
SLC7A5	0	0	0	1
SLC7A7	0	0	1	0
SLC9A7	1	0	0	0
SLF1	0	0	0	1
SLFN13	1	0	1	0
SLFN5	0	0	1	0
SLITRK5	0	0	1	0
SMAD2	0	1	0	0
SMAD5	0	1	0	0
SMAP1	0	0	1	0
SMAP2	0	0	1	0
SMARCA2	1	0	0	0
SMARCB1	0	0	1	0
SMARCD2	0	0	1	0
SMARCD3	0	0	1	0
SMARCE1	0	0	1	0
SMC6	0	0	1	0
SMDT1	0	0	1	0
SMG5	1	0	0	0
SMIM13	0	0	0	1
SMIM19	0	0	1	0
SMIM27	0	0	1	0
SMPD1	0	0	1	0
SMPD2	0	0	0	1
SNAP47	0	0	1	0
SNAPC2	1	0	0	0
SNAPIN	0	0	1	0
SND1	0	0	1	0
SNF8	0	0	1	0
SNHG32	0	0	1	0
SNPH	1	1	0	0
SNRNP25	0	0	1	0
SNRNP27	0	0	1	0
SNRNP35	0	0	1	0
SNRPD2	0	0	1	0
SNRPN	0	0	1	0
SNTB2	1	0	0	0
SNX10	0	0	1	0
SNX14	0	0	1	0
SNX18	0	0	1	0
SNX20	0	0	1	0
SNX27	0	0	1	0
SNX29	0	0	1	0
SNX30	0	0	1	0
SNX5	0	0	1	0
SNX8	0	0	1	0
SNX9	0	0	0	1
SOCS2	0	0	1	0
SOCS5	0	0	1	0
SOCS7	0	0	0	1
SOD1	0	0	1	0
SOD2	0	0	1	0
SORD	0	0	1	0
SORL1	0	0	1	0
SOWAHC	0	0	1	0
SP110	0	0	1	0
SP140L	0	0	1	0
SPAG5	1	0	0	0
SPAG9	0	0	1	0
SPART	0	0	1	0
SPCS2	0	0	1	0
SPECC1	0	0	1	0
SPHK1	0	0	1	0
SPI1	0	0	1	0
SPIB	0	0	1	1
SPINT2	0	0	1	0
SPIRE2	0	0	0	1
SPOCK2	0	0	1	0
SPON2	0	0	1	0
SPOPL	0	0	1	0
SPPL2A	0	0	0	1
SPRED1	0	0	1	0
SPRYD4	0	1	0	0
SPSB1	0	0	0	1
SPSB3	0	0	1	0
SPTBN1	0	0	1	0
SPTLC2	0	0	1	0
SQLE	0	0	1	0
SRCAP	0	0	0	1
SRGAP1	0	0	1	0
SRP14	0	0	1	0
SRPRB	0	0	0	1
SRRM2	1	0	0	0
SRSF2	0	0	1	0
SRSF8	0	0	1	0
SRXN1	0	0	1	0
SSBP2	0	0	1	0
SSBP3	0	0	1	0
SSR2	0	0	1	0
SSRP1	0	0	0	1
SSTR2	0	0	1	0
ST3GAL1	0	0	1	1
ST3GAL3	0	0	1	0
ST6GALNAC6	0	0	1	0
ST8SIA4	0	0	0	1
STAG3	1	0	0	0
STAM	0	0	1	0
STAM2	0	0	1	0
STAMBP	0	0	1	0
STAMBPL1	0	0	1	0
STARD10	0	0	1	0
STARD3NL	0	0	1	0
STARD7	0	0	0	1
STAT1	0	0	0	1
STAT2	0	0	0	1
STAT5B	0	0	1	0
STEAP4	0	0	1	0
STIM2	0	0	1	0
STING1	0	0	1	0
STIP1	0	0	0	1
STK17B	0	0	1	0
STK19	0	0	1	0
STK38	0	0	1	0
STK39	0	0	1	0
STK40	0	0	1	0
STOM	0	0	0	1
STRADB	0	0	1	0
STRN	0	0	1	0
STRN4	1	0	0	0
STX11	0	0	1	1
STX8	0	0	1	0
STXBP2	0	0	1	0
SUCLG2	0	0	1	0
SUGP2	1	0	1	1
SULF2	0	0	1	0
SUMF1	0	0	1	0
SUMF2	0	0	1	0
SUMO1	0	0	1	0
SUPT4H1	0	0	1	0
SUPT7L	0	0	1	0
SURF4	0	0	1	0
SUSD1	0	0	1	0
SUSD3	0	0	1	0
SUSD6	0	0	0	1
SUZ12	1	0	0	0
SUZ12P1	0	0	0	1
SVBP	0	0	1	0
SWAP70	0	0	1	0
SWT1	0	0	1	0
SYF2	0	0	1	0
SYK	0	0	1	0
SYNGR2	0	0	1	1
SYNJ1	0	1	1	0
SYNRG	0	0	1	0
SYS1	1	0	0	0
SYTL1	0	0	1	0
SZRD1	0	0	0	1
TAB2	0	0	1	0
TACC1	0	0	1	0
TACC3	0	0	1	0
TADA2A	1	0	0	0
TAF11	0	0	1	0
TAF4B	0	0	0	1
TAF5	1	1	0	0
TAF5L	0	0	1	0
TAF9B	0	0	1	0
TAFA2	0	0	1	0
TAGAP	0	0	0	1
TAGLN	0	0	1	0
TAGLN2	0	0	0	1
TALDO1	0	0	1	0
TANC2	0	0	1	0
TANGO2	0	0	1	0
TANGO6	0	1	0	0
TANK	0	0	0	1
TAP1	0	0	0	1
TAPBP	0	0	0	1
TAPT1	0	0	1	0
TATDN3	0	0	0	1
TAX1BP1	0	0	1	0
TAZ	0	0	1	0
TBC1D10C	0	0	1	0
TBC1D13	1	0	0	0
TBC1D14	0	0	1	0
TBC1D17	0	0	1	0
TBC1D24	0	0	1	0
TBC1D2B	0	0	1	0
TBC1D4	0	0	1	0
TBC1D7	0	0	1	0
TBC1D8	0	0	1	0
TBCA	0	0	1	0
TBCC	0	0	1	0
TBK1	0	0	1	0
TBL2	0	0	1	0
TBXAS1	0	0	1	0
TCEA3	0	0	1	0
TCEAL4	0	0	1	0
TCEAL8	1	0	1	0
TCF20	0	0	0	1
TCF4	0	0	1	0
TCF7	0	0	1	0
TCHP	0	0	1	0
TCIRG1	1	1	0	0
TCOF1	0	0	1	0
TDG	0	0	0	1
TECPR1	0	0	1	0
TEDC1	0	0	1	0
TEPSIN	1	0	0	0
TERF2IP	0	0	1	0
TESPA1	0	0	1	0
TET2	0	0	0	1
TEX10	0	0	1	0
TFEB	0	0	1	0
TGFBI	0	0	1	0
TGIF2	0	0	0	1
TGM2	0	0	1	0
THAP2	0	0	1	1
THAP4	0	0	1	0
THAP5	0	0	0	1
THAP9	1	0	0	0
THBD	0	0	1	0
THBS1	0	0	1	0
THBS3	0	0	1	0
THEM4	0	0	1	0
THEMIS2	0	0	1	0
THOC1	0	0	1	0
THOC5	0	0	1	0
THOP1	0	0	1	0
THRA	0	0	1	0
THTPA	0	0	1	0
THYN1	0	0	1	0
TIAL1	0	0	1	1
TICAM1	0	0	0	1
TIGIT	0	0	1	0
TIMM10	0	1	0	0
TIMM44	1	0	0	0
TIMP1	0	0	1	0
TIPRL	0	0	1	0
TJP2	0	0	1	1
TK1	0	0	1	0
TKFC	0	0	1	0
TKT	0	0	1	1
TLE1	1	0	0	0
TLE5	0	0	1	0
TLK1	0	0	1	0
TLR2	0	0	1	0
TLR4	0	0	1	0
TM9SF1	0	0	1	0
TMC6	0	0	1	0
TMC8	0	0	1	0
TMCO3	0	0	1	0
TMCO6	0	0	1	0
TMED3	0	0	1	0
TMED5	0	0	1	0
TMEM104	0	0	1	0
TMEM106A	0	0	1	0
TMEM107	0	0	1	0
TMEM116	0	0	1	0
TMEM131	0	0	1	0
TMEM134	0	0	1	0
TMEM135	0	0	0	1
TMEM138	0	1	0	0
TMEM140	0	0	0	1
TMEM156	0	0	1	0
TMEM159	0	1	0	0
TMEM161B	0	0	0	1
TMEM165	0	0	1	0
TMEM167A	0	0	0	1
TMEM170B	0	0	1	0
TMEM185B	1	1	1	0
TMEM189	0	0	1	0
TMEM198B	0	0	1	0
TMEM203	0	1	0	0
TMEM205	0	0	1	0
TMEM243	0	0	1	0
TMEM38B	0	0	1	0
TMEM42	0	0	1	0
TMEM43	0	0	1	0
TMEM59	0	0	1	0
TMEM63A	0	0	1	0
TMEM67	0	0	1	0
TMEM91	0	0	1	0
TMEM9B	0	0	1	0
TMSB4X	0	0	1	0
TMUB2	1	0	0	0
TMX4	0	1	0	0
TNF	0	0	1	1
TNFAIP2	0	0	1	0
TNFAIP8	0	0	0	1
TNFRSF10B	0	0	1	0
TNFRSF13C	0	0	1	0
TNFRSF14	0	0	1	0
TNFRSF18	0	0	1	0
TNFRSF1B	0	0	0	1
TNFRSF4	0	0	1	0
TNFRSF9	0	0	1	0
TNFSF12	0	0	1	0
TNFSF13B	0	0	1	0
TNFSF14	0	0	1	0
TNFSF8	0	0	0	1
TNIP1	0	0	1	0
TNIP2	0	0	0	1
TNKS	0	0	1	0
TNS3	0	0	1	0
TOGARAM1	0	0	1	0
TOMM20	0	0	1	0
TOMM7	0	0	1	0
TONSL	0	0	1	0
TOP3A	0	0	1	0
TOPORS	0	1	0	0
TOR1AIP1	0	0	1	0
TOR2A	0	0	1	0
TOR3A	0	0	0	1
TOX	0	0	1	0
TP53BP2	0	0	0	1
TP53I13	1	0	0	0
TP53INP2	0	1	0	1
TP53RK	0	0	1	0
TPD52L2	0	0	1	0
TPM3	0	0	0	1
TPP1	0	0	1	0
TPP2	0	0	1	0
TPR	0	0	1	0
TPRA1	0	0	1	0
TPT1	0	0	1	0
TRAC	0	0	1	0
TRAF1	0	0	0	1
TRAF3IP3	0	0	1	0
TRAF5	1	0	1	0
TRAFD1	0	0	0	1
TRAK2	0	0	1	0
TRANK1	0	0	0	1
TRAPPC1	0	0	1	0
TRAPPC2B	0	0	1	0
TRAPPC6A	0	0	1	0
TRAPPC8	0	0	1	0
TRAT1	0	0	1	0
TRAV12-2	0	0	1	0
TRAV13-1	0	0	1	0
TRAV17	0	0	1	0
TRAV2	0	0	1	0
TRAV21	0	0	1	0
TRAV29DV5	0	0	1	0
TRAV3	0	0	1	0
TRAV8-3	0	0	1	0
TRAV8-4	0	0	1	0
TRBC1	0	0	1	0
TRBC2	0	0	1	0
TRBV10-3	0	0	1	0
TRBV12-3	0	0	1	0
TRBV12-4	0	0	1	0
TRBV18	0	0	1	0
TRBV19	0	0	1	0
TRBV2	0	0	1	0
TRBV20-1	0	0	1	0
TRBV27	0	0	1	0
TRBV29-1	0	0	1	0
TRBV3-1	0	0	1	0
TRBV5-1	0	0	1	0
TRBV5-4	0	0	1	0
TRBV6-1	0	0	1	0
TRBV6-5	0	0	1	0
TRBV6-6	0	0	1	0
TRBV7-2	0	0	1	0
TRBV7-9	0	0	1	0
TRBV9	0	0	1	0
TREM1	0	0	1	0
TREX1	0	0	0	1
TRIB1	0	0	0	1
TRIB2	1	0	1	0
TRIM21	0	0	0	1
TRIM25	0	1	0	1
TRIM34	0	0	1	0
TRIM41	0	0	0	1
TRIM62	0	0	1	0
TRIR	0	0	1	0
TRMT13	0	0	0	1
TRMT44	0	0	1	0
TRMT6	0	0	1	0
TRMT61A	0	0	1	0
TRMT9B	0	0	1	0
TRPT1	0	0	1	0
TRPV1	0	0	0	1
TRRAP	1	0	0	0
TSC1	0	0	1	0
TSC22D2	0	1	0	1
TSC22D4	0	0	1	0
TSNAX	0	0	1	0
TSPAN10	0	0	1	0
TSPAN17	0	0	1	0
TSPAN18	0	0	1	0
TSPAN3	0	0	1	0
TSPAN32	1	0	1	0
TSSC2	0	0	1	0
TSTD3	1	0	0	0
TTC1	0	0	1	0
TTC13	0	0	1	0
TTC14	1	0	0	0
TTC32	0	0	0	1
TTC37	0	0	0	1
TTC38	1	0	0	0
TTC39B	0	0	1	0
TTI2	0	0	1	0
TTL	0	0	0	1
TTLL4	0	0	1	0
TTN	0	0	1	0
TTYH3	0	0	1	1
TUBB6	0	0	1	1
TUBGCP2	0	0	1	0
TUBGCP6	1	0	1	1
TULP3	1	0	0	0
TUT1	0	0	0	1
TUT4	0	0	0	1
TVP23B	1	1	0	0
TWF1	0	0	1	0
TWSG1	1	0	0	0
TXK	0	0	1	0
TXNDC9	0	0	1	0
TYK2	1	1	0	0
TYMP	0	0	1	0
TYMS	0	0	1	0
TYROBP	0	0	1	0
TYW3	0	0	1	0
U2AF1L4	0	0	1	0
UAP1L1	0	0	1	0
UBA52	0	0	1	0
UBALD2	0	0	1	0
UBAP1L	0	0	0	1
UBAP2	0	1	0	0
UBASH3A	0	0	1	0
UBC	0	0	0	1
UBE2B	0	0	1	0
UBE2D1	0	0	1	1
UBE2D2	0	0	1	0
UBE2F	0	0	1	0
UBE2H	0	0	0	1
UBE2J2	0	0	1	0
UBE2K	0	0	1	0
UBE2L6	0	0	0	1
UBE2Q2	0	0	1	0
UBE2V1	0	0	1	0
UBE2Z	0	0	0	1
UBL5	0	0	1	0
UBLCP1	0	0	1	0
UBQLN1	0	0	1	0
UBR2	0	0	1	0
UBTF	0	0	1	0
UBXN1	0	0	1	0
UBXN11	0	0	1	0
UBXN6	0	1	0	1
UBXN7	1	0	0	0
UCKL1	1	0	0	0
UCP2	0	0	1	1
UFL1	0	0	1	0
UFM1	1	0	0	0
UGCG	0	0	1	0
UGP2	0	0	1	0
UHRF1	0	0	1	0
UHRF2	0	0	1	0
ULK2	0	1	1	0
ULK3	0	0	1	0
UNC119B	1	0	0	0
UNC13D	1	0	1	0
UNC45A	0	0	0	1
UNC50	0	1	0	0
UNC93B1	0	0	1	0
UQCRB	0	0	1	0
UQCRC2	0	0	1	0
UQCRH	0	0	1	0
URI1	0	0	1	0
USP12	0	0	0	1
USP15	0	0	1	0
USP20	0	0	1	0
USP22	0	1	0	0
USP3	0	1	0	0
USP48	1	0	1	0
USP49	0	0	1	0
USP6NL	1	0	1	0
UTP20	0	0	1	0
UTP25	0	1	0	0
UTS2	0	0	1	0
UXS1	0	0	1	0
VAMP1	0	0	1	0
VASH1	0	0	1	0
VASH2	0	0	1	0
VASP	0	0	0	1
VCAN	0	0	1	0
VDAC1	0	0	0	1
VDAC3	1	0	1	0
VEGFA	0	0	1	0
VEZF1	0	0	1	0
VIM	0	0	1	1
VMA21	0	0	0	1
VMP1	0	0	1	0
VPS11	0	0	1	0
VPS13B	1	0	0	0
VPS13C	0	0	1	0
VPS25	0	1	0	0
VPS26B	0	0	1	0
VPS29	0	0	1	0
VPS33A	0	0	0	1
VPS35	0	0	1	0
VPS37B	0	0	1	0
VPS39	0	0	1	0
VPS45	0	0	1	0
VPS52	0	0	1	0
VPS53	0	0	1	0
VRK2	0	0	0	1
VTI1A	0	0	1	0
VWA5A	0	0	1	0
VWA8	0	0	1	0
WARS1	0	0	1	1
WARS2	1	0	1	0
WASF2	0	0	1	0
WASH6P	0	0	0	1
WASHC3	0	0	1	0
WBP2	0	0	1	0
WBP4	0	1	0	0
WDR1	0	0	0	1
WDR11	0	1	0	0
WDR26	0	0	1	0
WDR36	0	0	0	1
WDR41	0	1	0	0
WDR45	0	0	1	0
WDR59	0	0	0	1
WDR73	0	0	1	0
WDR74	0	0	1	0
WDR89	0	0	1	0
WDTC1	0	0	1	0
WHAMMP2	0	0	1	0
WHRN	0	0	1	0
WIPF1	0	0	1	0
WIPI1	0	0	1	0
WIPI2	0	0	1	0
WNK1	0	1	1	0
WTIP	0	0	1	0
WWC3	0	0	1	0
WWP1	0	0	1	0
XAF1	0	0	0	1
XBP1	0	0	1	1
XIAP	0	1	0	0
XPC	0	0	1	0
XPNPEP3	0	0	1	0
XRN2	0	0	1	0
XXYLT1	0	0	1	0
YBX3	0	0	1	1
YES1	0	0	1	0
YIF1A	0	0	1	0
YIF1B	0	0	1	0
YKT6	0	1	0	0
YME1L1	0	0	1	0
YPEL1	1	0	0	0
YPEL3	0	0	1	0
YTHDF2	0	0	0	1
YWHAB	0	0	1	0
YWHAZ	0	0	0	1
YY1	0	0	1	0
ZBP1	0	0	1	0
ZBTB1	0	0	1	0
ZBTB14	0	1	0	0
ZBTB16	1	0	0	0
ZBTB17	1	0	1	0
ZBTB21	0	0	0	1
ZBTB24	0	0	1	0
ZBTB25	0	0	1	0
ZBTB4	1	0	0	0
ZBTB43	0	0	1	1
ZBTB48	0	0	1	0
ZBTB7A	0	1	0	0
ZBTB8OS	0	0	0	1
ZC3H10	0	0	0	1
ZC3H12D	0	1	0	0
ZC3H14	0	0	1	0
ZC3H3	0	0	0	1
ZC3H7A	0	0	1	0
ZC3H8	0	0	0	1
ZC3HAV1	0	0	0	1
ZCCHC4	1	0	1	0
ZCCHC9	0	0	1	0
ZCRB1	0	0	1	0
ZDBF2	0	0	1	0
ZDHHC18	0	0	0	1
ZDHHC21	1	0	0	0
ZDHHC24	0	0	1	1
ZEB2	0	0	1	0
ZFP14	0	1	0	0
ZFYVE16	0	0	1	0
ZFYVE21	0	0	1	0
ZGRF1	0	0	1	0
ZMAT2	0	0	1	0
ZMAT3	0	1	1	0
ZMIZ1	0	0	1	1
ZMPSTE24	0	0	1	0
ZMYM5	0	0	1	0
ZMYM6	0	0	0	1
ZMYND8	0	0	1	0
ZNF175	0	0	0	1
ZNF184	0	0	1	0
ZNF217	0	0	1	0
ZNF224	1	0	1	1
ZNF226	0	0	1	0
ZNF227	0	1	0	0
ZNF250	0	0	1	0
ZNF251	0	0	1	1
ZNF254	1	0	0	0
ZNF256	1	0	0	0
ZNF264	0	0	1	0
ZNF273	0	0	1	0
ZNF277	0	0	1	0
ZNF280C	0	0	0	1
ZNF324	0	0	1	0
ZNF326	1	0	0	0
ZNF329	0	0	1	0
ZNF333	0	0	1	0
ZNF341	0	0	1	0
ZNF345	0	0	1	0
ZNF354B	0	0	1	0
ZNF37A	0	0	0	1
ZNF383	0	0	0	1
ZNF385A	0	0	1	0
ZNF394	0	0	1	0
ZNF410	0	1	0	0
ZNF426	0	1	0	0
ZNF44	0	0	1	0
ZNF440	0	0	0	1
ZNF460	0	1	0	0
ZNF473	0	1	1	0
ZNF496	0	0	1	0
ZNF513	0	0	0	1
ZNF516	0	0	1	0
ZNF550	0	0	0	1
ZNF558	0	0	1	0
ZNF564	0	1	1	1
ZNF565	1	0	0	0
ZNF570	0	0	1	0
ZNF571	0	0	1	0
ZNF576	0	0	1	0
ZNF577	0	0	1	0
ZNF580	0	0	1	0
ZNF585A	0	0	1	0
ZNF600	0	0	1	0
ZNF605	0	0	0	1
ZNF606	0	0	0	1
ZNF614	1	1	0	0
ZNF664	0	1	0	0
ZNF672	0	0	0	1
ZNF688	0	1	1	0
ZNF7	0	1	0	1
ZNF713	0	0	1	0
ZNF726	0	1	0	0
ZNF75A	0	1	0	1
ZNF776	0	0	1	0
ZNF783	0	0	1	0
ZNF785	0	0	1	0
ZNF786	0	0	1	0
ZNF791	0	1	0	1
ZNF8	1	1	0	1
ZNF80	0	0	1	0
ZNF800	0	0	1	0
ZNF805	0	1	0	0
ZNF814	0	0	1	0
ZNF827	1	1	0	0
ZNF83	1	0	1	1
ZNF836	0	0	1	1
ZNF84	1	0	0	0
ZNF85	1	0	0	0
ZNF880	0	1	1	0
ZNFX1	0	0	0	1
ZNHIT3	0	0	1	0
ZNHIT6	0	0	1	0
ZNRD1	0	1	0	0
ZNRD2	0	1	0	0
ZNRF2	0	0	1	1
ZSCAN12	0	1	0	1
ZSCAN26	1	0	0	0
ZSCAN29	0	0	1	0
ZSWIM6	0	0	1	0
ZSWIM8	0	0	1	1
ZXDB	0	1	0	0
ZXDC	0	0	1	0
